tabelcode;datapunt;rij;kolom
S.01.01.11.01;R0010C0010;R0010;C0010
S.01.01.11.01;R0490C0010;R0490;C0010
S.01.01.11.01;R0960C0010;R0960;C0010
S.01.01.11.01;R0980C0010;R0980;C0010
S.01.02.01.01;R0010C0010;R0010;C0010
S.01.02.01.01;R0020C0010;R0020;C0010
S.01.02.01.01;R0040C0010;R0040;C0010
S.01.02.01.01;R0050C0010;R0050;C0010
S.01.02.01.01;R0070C0010;R0070;C0010
S.01.02.01.01;R0080C0010;R0080;C0010
S.01.02.01.01;R0081C0010;R0081;C0010
S.01.02.01.01;R0090C0010;R0090;C0010
S.01.02.01.01;R0100C0010;R0100;C0010
S.01.02.01.01;R0110C0010;R0110;C0010
S.01.02.01.01;R0120C0010;R0120;C0010
S.01.02.01.01;R0130C0010;R0130;C0010
S.01.02.01.01;R0140C0010;R0140;C0010
S.01.02.01.01;R0150C0010;R0150;C0010
S.01.02.01.01;R0170C0010;R0170;C0010
S.01.02.01.01;R0180C0010;R0180;C0010
S.01.02.01.01;R0190C0010;R0190;C0010
S.01.02.01.01;R0200C0010;R0200;C0010
S.01.02.01.01;R0210C0010;R0210;C0010
S.01.02.01.01;R0250C0010;R0250;C0010
S.01.02.01.01;R0255C0010;R0255;C0010
S.01.02.01.01;R0260C0010;R0260;C0010
S.01.02.01.01;R0990C0010;R0990;C0010
S.01.02.01.01;R0991C0010;R0991;C0010
S.01.02.01.01;R0992C0010;R0992;C0010
S.25.04.11.01;R0010C0010;R0010;C0010
S.25.04.11.01;R0020C0010;R0020;C0010
S.39.01.11.01;R0010C0010;R0010;C0010
S.41.01.11.01;R0010C0010;R0010;C0010
S.41.01.11.01;R0020C0010;R0020;C0010
